# GeckoLib 4 to GeckoLib 5 class moves.
#
# Format: OLD_INTERNAL_NAME<TAB>NEW_INTERNAL_NAME
#
# GeckoLib 5 moved the whole library from software.bernie.geckolib to com.geckolib and
# reorganised it at the same time, so a mod built against 4.x dies on its first touch with
# NoClassDefFoundError: software/bernie/geckolib/animatable/GeoItem (#223).
#
# Derived from the geckolib-forge-1.20.1-4.8.4 and geckolib-neoforge-26.1.2-5.5.2 jars. A pair
# is taken when the plain package swap lands on a class 5.5.2 ships, or when exactly one class
# in 5.5.2 carries that simple name. Nothing ambiguous was found, and 91 further 4.x classes
# have no counterpart at all: those are internals such as the texture cache, and a mod that
# reaches them needs a real port rather than a rename.
#
# GeckoLib 4.x tops out at Minecraft 1.21.4 and 5.x starts at 1.21.5, so the shim that reads
# this table is gated on the host being 1.21.5 or newer. Applying it on an older host would
# rewrite a mod onto packages that host's GeckoLib does not have.
# 111 class moves.
software/bernie/geckolib/GeckoLib	com/geckolib/GeckoLib
software/bernie/geckolib/animatable/GeoBlockEntity	com/geckolib/animatable/GeoBlockEntity
software/bernie/geckolib/animatable/GeoEntity	com/geckolib/animatable/GeoEntity
software/bernie/geckolib/animatable/GeoItem	com/geckolib/animatable/GeoItem
software/bernie/geckolib/animatable/GeoItem$ContextBasedAnimatableInstanceCache	com/geckolib/animatable/GeoItem$ContextBasedAnimatableInstanceCache
software/bernie/geckolib/animatable/GeoItem$ContextBasedAnimatableInstanceCache$1	com/geckolib/animatable/GeoItem$ContextBasedAnimatableInstanceCache$1
software/bernie/geckolib/animatable/GeoReplacedEntity	com/geckolib/animatable/GeoReplacedEntity
software/bernie/geckolib/animatable/SingletonGeoAnimatable	com/geckolib/animatable/SingletonGeoAnimatable
software/bernie/geckolib/animatable/stateless/StatelessAnimatable	com/geckolib/animatable/stateless/StatelessAnimatable
software/bernie/geckolib/animatable/stateless/StatelessAnimationController	com/geckolib/animatable/stateless/StatelessAnimationController
software/bernie/geckolib/animatable/stateless/StatelessGeoBlockEntity	com/geckolib/animatable/stateless/StatelessGeoBlockEntity
software/bernie/geckolib/animatable/stateless/StatelessGeoEntity	com/geckolib/animatable/stateless/StatelessGeoEntity
software/bernie/geckolib/animatable/stateless/StatelessGeoObject	com/geckolib/animatable/stateless/StatelessGeoObject
software/bernie/geckolib/animatable/stateless/StatelessGeoReplacedEntity	com/geckolib/animatable/stateless/StatelessGeoReplacedEntity
software/bernie/geckolib/animatable/stateless/StatelessGeoSingletonAnimatable	com/geckolib/animatable/stateless/StatelessGeoSingletonAnimatable
software/bernie/geckolib/cache/AnimatableIdCache	com/geckolib/cache/AnimatableIdCache
software/bernie/geckolib/cache/object/BakedGeoModel	com/geckolib/cache/model/BakedGeoModel
software/bernie/geckolib/cache/object/GeoBone	com/geckolib/cache/model/GeoBone
software/bernie/geckolib/cache/object/GeoCube	com/geckolib/cache/model/cuboid/GeoCube
software/bernie/geckolib/cache/object/GeoQuad	com/geckolib/cache/model/GeoQuad
software/bernie/geckolib/cache/object/GeoVertex	com/geckolib/cache/model/GeoVertex
software/bernie/geckolib/constant/DataTickets	com/geckolib/constant/DataTickets
software/bernie/geckolib/constant/DefaultAnimations	com/geckolib/constant/DefaultAnimations
software/bernie/geckolib/core/animatable/GeoAnimatable	com/geckolib/animatable/GeoAnimatable
software/bernie/geckolib/core/animatable/instance/AnimatableInstanceCache	com/geckolib/animatable/instance/AnimatableInstanceCache
software/bernie/geckolib/core/animatable/instance/InstancedAnimatableInstanceCache	com/geckolib/animatable/instance/InstancedAnimatableInstanceCache
software/bernie/geckolib/core/animatable/instance/SingletonAnimatableInstanceCache	com/geckolib/animatable/instance/SingletonAnimatableInstanceCache
software/bernie/geckolib/core/animation/AnimatableManager	com/geckolib/animatable/manager/AnimatableManager
software/bernie/geckolib/core/animation/AnimatableManager$ControllerRegistrar	com/geckolib/animatable/manager/AnimatableManager$ControllerRegistrar
software/bernie/geckolib/core/animation/Animation	com/geckolib/cache/animation/Animation
software/bernie/geckolib/core/animation/AnimationController	com/geckolib/animation/AnimationController
software/bernie/geckolib/core/animation/AnimationController$AnimationStateHandler	com/geckolib/animation/AnimationController$AnimationStateHandler
software/bernie/geckolib/core/animation/AnimationProcessor	com/geckolib/animation/AnimationProcessor
software/bernie/geckolib/core/animation/ContextAwareAnimatableManager	com/geckolib/animatable/manager/ContextAwareAnimatableManager
software/bernie/geckolib/core/animation/EasingType	com/geckolib/animation/object/EasingType
software/bernie/geckolib/core/animation/EasingType$CatmullRomEasing	com/geckolib/animation/object/EasingType$CatmullRomEasing
software/bernie/geckolib/core/animation/RawAnimation	com/geckolib/animation/RawAnimation
software/bernie/geckolib/core/animation/RawAnimation$Stage	com/geckolib/animation/RawAnimation$Stage
software/bernie/geckolib/core/keyframe/AnimationPoint	com/geckolib/animation/state/AnimationPoint
software/bernie/geckolib/core/keyframe/BoneAnimation	com/geckolib/cache/animation/BoneAnimation
software/bernie/geckolib/core/keyframe/Keyframe	com/geckolib/cache/animation/Keyframe
software/bernie/geckolib/core/keyframe/KeyframeStack	com/geckolib/cache/animation/KeyframeStack
software/bernie/geckolib/core/keyframe/event/KeyFrameEvent	com/geckolib/animation/state/KeyFrameEvent
software/bernie/geckolib/core/keyframe/event/data/CustomInstructionKeyframeData	com/geckolib/cache/animation/keyframeevent/CustomInstructionKeyframeData
